HANDLE,TITLE,QTY,PRICE,IMAGE,WIDTH,LENGTH
kelim-old-246x156,Kelim Old 246x156,1,9990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/6a1c66_1d1ebb7c63d94bd5beb6b9ae65bfdc50_mv2_d_2112_3384_s_2.jpg?v=1675134915,156,246
yalameh-200x130,Yalameh 200x130,1,14900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/6a1c66_f2759227efe6450488d168e5cb8e718a_mv2_d_2199_3063_s_2.jpg?v=1675134913,130,200
moud-201x148,Moud 201x148,-1,19900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/6a1c66_fb764424e33b4c6dba6e44d1fa299be6_mv2_d_1850_2568_s_2.jpg?v=1675134909,148,201
kasghai-198x132,Kasghai 198x132,1,14900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/6a1c66_ad83848c6bbc45f7bee48cc64fbb7f23_mv2_d_1733_2628_s_2.jpg?v=1675134907,132,198
bidjar-200x116,(SOLGT) Bidjar 200x116,0,39900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_1778ea902c9c49be9ec82adb4e58c6d9_mv2_d_1612_2747_s_2.jpg?v=1675134905,116,200
nain-193x77-1,Nain 193x77,0,7950,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_3eba4f6e2fe94008a72ddd8668f09273_mv2_d_1314_3377_s_2.jpg?v=1675134902,77,193
solgt-yalameh-203x81-1,(SOLGT) Yalameh 203x81,-1,12900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_e44fc49483784d4e9047a6a158f52448_mv2.jpg?v=1675134891,81,203
solgt-bidjar-200x80-1,(SOLGT) Bidjar 200x80,-1,14900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_9dc9e494144a413a8458841a97945444_mv2.jpg?v=1675134882,80,200
bidjar-232x78-1,(SOLGT) Bidjar 232x78,-1,12900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_6b12e8fedf0647579101d7cc0379cab5_mv2.jpg?v=1675134861,78,232
moud-mahi-244x79,Moud Mahi 244x79,1,12990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_11c6206695094f33af4ddb5aed7266e1_mv2.jpg?v=1675134850,79,244
moud-mahi-246x79,Moud Mahi 246x79,1,12990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_173d979795bb478cb467f990fe50bbab_mv2.jpg?v=1675134839,79,246
nain-210x71,(SOLGT) Nain 6 LA 210x71,-1,22800,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_dca6667809a9488fb2b59285539f3bfe_mv2.jpg?v=1675134829,71,210
nain-192x77,Nain 192x77,1,5990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_f14e50fb45964135b07fafea89bbe734_mv2.jpg?v=1675134818,77,192
nain-186x80-1,Nain 186x80,1,9990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_45ad8fbf7f3b432d89740b854a7af508_mv2.jpg?v=1675134802,80,186
solgt-gabbeh-fine-203x152,(SOLGT) Gabbeh Fine 203x152,-1,24800,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_008137298bfe44318f4b01ac3877916d_mv2_d_2836_3738_s_4_2.jpg?v=1675134718,152,203
gabbeh-fine-198x148,Gabbeh Fine 198x148,1,14900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_974ee0c7a8d34c5491013d1169c6836d_mv2_d_2731_3608_s_4_2.jpg?v=1675134709,148,198
gabbeh-fine-204x154,Gabbeh Fine 204x154,1,14900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_2308b31454964787804a56e7fd004777_mv2_d_2332_3027_s_2.jpg?v=1675134697,154,204
moud-207x142,Moud 207x142,0,14900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_5f367ecb03c640c1bbba965276e8e70f_mv2_d_3648_5200_s_4_2.jpg?v=1675134644,142,207
bidjar-fine-192x116,Bidjar Fine 192x116,-1,24900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_1e5d6491086d4af7a8528e0c8b422213_mv2_d_1301_2348_s_2.jpg?v=1675134611,116,192
moud-mahi-204x150-1,Moud Mahi 204x150,1,14990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_d84af5529015430eab425b610ab560bc_mv2_d_1814_2464_s_2.jpg?v=1675134600,150,204
bidjar-220x142-1,(SOLGT) Bidjar 220x142,0,29990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/bidjar-220x142-429870.jpg?v=1675154666,142,220
mal-bidjar-220x140,"""MAL"" Bidjar 220x140",0,29990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_23ff03b78b4d40cbb09cd2a6be41a25b_mv2_d_1684_2611_s_2_0dd2b3a3-e664-4538-9a81-4500ffe525b8.jpg?v=1675134568,140,220
solgt-keshan-157x100,(SOLGT) Keshan 157x100,-1,7990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_031dc6d853434026ab1ed2cc4620705b_mv2.jpg?v=1675134557,100,157
keshan-159x98,(SOLGT)Keshan 159x98,0,7990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_20375a6bbf174ebeb076cf48329f7996_mv2_d_1371_2195_s_2.jpg?v=1675134547,98,159
keshan-212x144,Keshan 212x144,1,14900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_f70b1b82d74c41759c60d606315c0da2_mv2_d_2486_3669_s_4_2.jpg?v=1675134538,144,212
keshan-215x140,Keshan 215x140,1,14900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_8a2ba99409d0421fb276a7c7c4439dee_mv2_d_2450_3709_s_4_2.jpg?v=1675134529,140,215
keshan-298x104,Keshan 298x104,1,14900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_721ffec7f10f48298b5c28ef37ebc0c1_mv2_d_1265_3388_s_2.jpg?v=1675134515,104,298
solgt-tabriz-290x200,(SOLGT) Tabriz 290x200,-1,24900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_255538adfb6e4c5b88fe2fd29e3191a4_mv2_d_2567_3876_s_4_2.jpg?v=1675134505,200,290
solgt-keshan-407x287,(SOLGT) Keshan 407x287,-1,39900,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_0ac2ee75556e4eee990dfa4e1e7756cd_mv2_d_3242_4451_s_4_2.jpg?v=1675134488,287,407
gholtugh-131x79,Gholtugh 131x79,1,2990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_e84d592d8d414796b4930542bb1b1277_mv2_d_1426_2310_s_2.jpg?v=1675134477,79,131
solgt-sarough-151x100,(SOLGT) Sarough 151x100,-1,6990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_8458f5510bf0459e88e14941ad8ad338_mv2_d_2029_3077_s_2.jpg?v=1675134474,100,151
solgt-turkeman-148x104,(SOLGT) Turkeman 148x104,-1,8990,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_fa95a2602a6e4566ad4099a85ce09062_mv2_d_1490_2234_s_2.jpg?v=1675134456,104,148
