Handle,Title,Variant Inventory Qty,Variant Price,Image Position,Image Src
kelim-old-246x156,Kelim Old 246x156,1,9990,1,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/6a1c66_1d1ebb7c63d94bd5beb6b9ae65bfdc50_mv2_d_2112_3384_s_2.jpg?v=1675134915
yalameh-200x130,Yalameh 200x130,1,14900,1,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/6a1c66_f2759227efe6450488d168e5cb8e718a_mv2_d_2199_3063_s_2.jpg?v=1675134913
moud-201x148,Moud 201x148,-1,19900,1,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/6a1c66_fb764424e33b4c6dba6e44d1fa299be6_mv2_d_1850_2568_s_2.jpg?v=1675134909
kasghai-198x132,Kasghai 198x132,1,14900,1,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/6a1c66_ad83848c6bbc45f7bee48cc64fbb7f23_mv2_d_1733_2628_s_2.jpg?v=1675134907
bidjar-200x116,(SOLGT) Bidjar 200x116,0,39900,1,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_1778ea902c9c49be9ec82adb4e58c6d9_mv2_d_1612_2747_s_2.jpg?v=1675134905
nain-193x77-1,Nain 193x77,0,7950,1,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_3eba4f6e2fe94008a72ddd8668f09273_mv2_d_1314_3377_s_2.jpg?v=1675134902
nain-193x77-1,,,,2,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_e8d8c23e9b1f41feb7a6ebfe3b38ddb3_mv2_d_3769_3397_s_4_2.jpg?v=1675134902
nain-193x77-1,,,,3,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_4d3b8f7a7379446dbd8206e65ca08959_mv2_d_5602_3735_s_4_2.jpg?v=1675134902
nain-193x77-1,,,,4,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_b40e7a6cbbb34aa284336eb4ed7e2fef_mv2_d_6000_4000_s_4_2.jpg?v=1675134902
nain-193x77-1,,,,5,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_69ed38a2729e4ecda8ed56ed39c2e917_mv2_d_5407_3605_s_4_2.jpg?v=1675134902
solgt-yalameh-203x81-1,(SOLGT) Yalameh 203x81,-1,12900,1,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_e44fc49483784d4e9047a6a158f52448_mv2.jpg?v=1675134891
solgt-yalameh-203x81-1,,,,2,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_8b8abac5bdca46169bc8270a68b3f7d5_mv2_d_3000_2000_s_2.jpg?v=1675134891
solgt-yalameh-203x81-1,,,,3,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_4a33ffd5879944c68f2184455a17dd18_mv2_d_3000_2000_s_2.jpg?v=1675134891
solgt-yalameh-203x81-1,,,,4,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_073bad5c3fb946068a222a0267751e02_mv2_d_2650_1978_s_2.jpg?v=1675134891
solgt-yalameh-203x81-1,,,,5,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_417bde5cf36d48ffb92b44ec9cd3a8b5_mv2_d_3000_2000_s_2.jpg?v=1675134891
solgt-bidjar-200x80-1,(SOLGT) Bidjar 200x80,-1,14900,1,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_9dc9e494144a413a8458841a97945444_mv2.jpg?v=1675134882
solgt-bidjar-200x80-1,,,,2,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_d15078acbae04502b2ced8e892b34ed9_mv2_d_3225_3340_s_4_2.jpg?v=1675134882
solgt-bidjar-200x80-1,,,,3,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_fd4a3f7cc9bc4da686467fbb109a84b2_mv2_d_5634_3756_s_4_2.jpg?v=1675134882
solgt-bidjar-200x80-1,,,,4,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_34b18a1e66e5447b85e1a3ca496faca3_mv2_d_5639_3759_s_4_2.jpg?v=1675134882
solgt-bidjar-200x80-1,,,,5,https://cdn.shopify.com/s/files/1/0608/7108/2233/products/8db1b0_3c37c273ae1647f99bddb9a8be023645_mv2_d_6000_4000_s_4_2.jpg?v=1675134882
